✅ nyukasa                入笠山          Mt.Nyukasa 01.jpg … 緑の田園と山麓の集落と山の眺望
✅ uchiko                 内子           Uchiko-za entrance ac (2).jpg … 内子座の唐破風屋根と扁額
✅ echizen                越前           水仙廼社.jpg … 巨大な岩窟に祀られた小社と石灯籠
✅ iga                    伊賀           Ninja MUSEUM of Igaryu , 伊賀流忍者博物館 - pano … 茅葺き屋根の古民家風建物と日本庭園
✅ kamaishi               釜石           Kamaishi Kannon 釜石大観音 Mar 4, 2012.jpg … 雪景色の丘に立つ釜石大観音と寺院
✅ ono-fukui              越前大野         Akazunomon in Echizen Ono Castle.jpg … 越前大野の寺院山門と大きな赤提灯
✅ isawa-onsen            石和温泉         Isawa Hot Springs Creek Aug.2013.JPG … 温泉街の川沿い遊歩道と緑豊かな並木
❌ arita                  有田           合格なし（11枚試行）
✅ chizu                  智頭           150425 Ishitani Residence Chizu Tottori  … 智頭の歴史的な町家と緑の山並み
✅ kashiwara-wine         柏原           カタシモワイナリー.jpg … 黒壁の蔵元外観とワイン樽と松の木
❌ tsubamesanjo           燕三条          合格なし（10枚試行）
✅ ikuno                  生野           Ikuno-Ginzan city1.JPG … 山間の川沿いに広がる生野の街並みと山々
✅ fuchu-hiroshima        府中           Taishaku-onbashi.jpg … 巨大な岩アーチと新緑の渓谷遊歩道
❌ sozogi                 曽々木海岸        合格なし（9枚試行）
